1 0.078948545
1.2 0.2072404
1.4 0.2516354
1.6 0.37100855
1.7 0.33007585
1.8 0.46289677
1.9 0.53203101
2 0.640673
2.1 0.67754455
2.2 0.6542398
2.3 0.76764723
2.4 0.83775834
2.5 0.86808796
2.6 0.89219242
2.7 0.86119023
2.8 1.0301814
2.9 1.1396235
3 1.0140921
3.1 0.890988
3.2 1.008209
3.3 0.86312615
3.4 0.84381055
3.5 0.96986454
3.6 0.85575216
3.7 0.77450899
3.8 0.64611822
3.9 0.63583422
4 0.57837186
4.1 0.51958161
4.2 0.46967116
4.3 0.53412164
4.4 0.46237149
4.5 0.33213767
4.6 0.253661
4.7 0.37269548
4.8 0.37202499
4.9 0.35367836
5 0.44096457
5.1 0.48963728
5.2 0.44954784
5.3 0.61966959
5.4 0.53966489
5.5 0.56173009
5.6 0.57104239
5.7 0.47778197
5.8 0.37902459
5.9 0.26979468
6 0.33953581
6.1 0.29527713
6.2 0.1249088
6.3 0.097726675
6.4 0.21839467
6.5 0.083172841
6.6 0.014295116
6.7 0.039723051
6.8 -0.0071915158
6.9 0.080393323
7 0.073700579
